"","ID","Aktienkauf","Einkommen","Risikobereitschaft","Interesse"
"1",1,1,176,11.359392,9.3
"2",2,0,31,1.362202,17.3
"3",3,0,55,0.856075,5.5
"4",4,0,120,2.65872,2.9
"5",5,1,28,1.787436,17.3
"6",6,0,25,0.3927,10.2
"7",7,0,67,3.833874,30.6
"8",8,0,38,0.128592,3.6
"9",9,1,19,1.358348,24.4
"10",10,0,25,2.7777,19.7
"11",11,0,16,0.182512,1.7
"12",12,0,23,0.252356,5.2
"13",13,0,64,3.9296,10
"14",14,0,29,1.715901,16.3
"15",15,0,100,3.7037,9.1
"16",16,1,49,0.817516,8.6
"17",17,1,41,2.918216,16.4
"18",18,0,72,1.181952,7.6
"19",19,0,61,0.563274,5.7
"20",20,0,26,0.099008,1.7
"21",21,0,52,1.154816,3.2
"22",22,0,43,0.587552,5.6
"23",23,0,26,0.4316,10
"24",24,0,27,0.402192,9.8
"25",25,1,16,0.24192,18
"26",26,0,32,2.14016,17.6
"27",27,0,69,0.707319,6.7
"28",28,0,64,0.951232,16.7
"29",29,0,58,3.084208,18.4
"30",30,0,37,0.204906,14.2
"31",31,0,20,0.105,2.1
"32",32,0,22,1.13883,10.5
"33",33,0,26,0.72228,6
"34",34,0,27,1.018656,14.4
"35",35,0,35,0.07714,2.9
"36",36,0,45,6.0489,26
"37",37,0,22,1.409716,16.1
"38",38,0,54,3.195936,14.4
"39",39,1,24,1.337904,17.1
"40",40,0,50,0.5586,4.2
"41",41,0,31,0.33759,6.6
"42",42,0,59,1.80776,8
"43",43,0,41,0.941114,4.6
"44",44,0,48,1.930416,13.1
"45",45,1,14,0.3024,7.5
"46",46,0,16,0.150144,6.8
"47",47,0,35,0.43155,4.5
"48",48,0,26,0.12168,10.4
"49",49,1,21,0.775656,11.4
"50",50,0,42,0.205128,7.4
"51",51,1,25,0.5733,12.6
"52",52,0,20,0.8092,14
"53",53,1,52,3.032016,12.9
"54",54,0,25,0.311725,3.7
"55",55,0,28,0.55328,9.5
"56",56,1,24,1.801128,15.1
"57",57,0,34,0.3978,5
"58",58,0,69,1.061496,2.4
"59",59,0,100,1.485,2.5
"60",60,0,80,2.47904,12.2
"61",61,0,28,0.047712,2.4
"62",62,1,42,1.457652,7.4
"63",63,0,23,0.86986,12.4
"64",64,0,55,2.15985,7
"65",65,0,28,1.024296,7.8
"66",66,1,75,7.7589,23.3
"67",67,1,23,0.186944,6.4
"68",68,0,46,2.515786,9.1
"69",69,1,31,1.492154,8.2
"70",70,1,20,0.56916,18.6
"71",71,0,21,1.401939,23.1
"72",72,0,34,3.099236,23.8
"73",73,0,100,4.5824,12.8
"74",74,0,26,1.518556,10.6
"75",75,0,44,0.07106,1.7
"76",76,0,51,3.738504,23.8
"77",77,0,21,0.025074,0.6
"78",78,0,17,0.157182,6.7
"79",79,0,37,0.199134,2.6
"80",80,0,39,0.6864,3.2
"81",81,1,27,2.47212,10.5
"82",82,0,45,2.7387,17
"83",83,0,32,2.69696,19.6
"84",84,0,29,1.84382,11
"85",85,0,20,0.3186,5.4
"86",86,0,45,2.01348,18.8
"87",87,1,36,3.490848,12.4
"88",88,0,29,1.405398,24.6
"89",89,0,28,0.116116,2.9
"90",90,1,17,2.043706,27.7
"91",91,0,23,0.052762,6.2
"92",92,1,15,0.37107,11.4
"93",93,0,54,1.499688,10.6
"94",94,1,18,0.296496,5.8
"95",95,1,15,1.960665,26.3
"96",96,0,54,0.727056,4.4
"97",97,0,82,1.315116,3.3
"98",98,0,52,0.926224,7.3
"99",99,0,19,0.681093,6.3
"100",100,1,31,1.331946,9.3
"101",101,0,113,0.987168,2.6
"102",102,0,26,0.030212,8.3
"103",103,0,27,0.776736,5.8
"104",104,0,121,1.365364,3.1
"105",105,0,75,9.8766,23.6
"106",106,0,28,0.53424,3.6
"107",107,1,50,2.016,11.2
"108",108,0,26,1.29519,13.5
"109",109,0,60,1.72062,7.9
"110",110,0,45,1.11807,10.1
"111",111,0,39,0.45864,4.9
"112",112,0,41,0.266377,8.9
"113",113,0,24,0.833448,7.7
"114",114,0,51,2.411994,21.4
"115",115,0,64,1.865856,8.6
"116",116,0,33,0.552552,5.2
"117",117,0,65,2.10769,6.2
"118",118,0,73,1.032512,3.4
"119",119,1,27,1.08864,12.8
"120",120,1,20,0.47168,6.7
"121",121,0,37,1.34273,9.5
"122",122,1,19,0.2793,8.4
"123",123,1,27,1.982448,35.3
"124",124,1,22,1.092454,12.7
"125",125,0,22,0.140448,2.8
"126",126,0,43,0.694364,4.4
"127",127,1,68,1.0166,13
"128",128,0,36,0.127008,1.4
"129",129,0,25,0.36675,9
"130",130,0,68,1.506608,5.8
"131",131,0,27,0.311634,2.9
"132",132,0,18,0.984528,12.9
"133",133,0,35,0.5481,17.4
"134",134,0,60,2.44956,13.7
"135",135,0,21,0.519939,6.3
"136",136,0,57,0.452694,2.2
"137",137,0,23,0.2852,12.4
"138",138,0,28,0.964768,5.9
"139",139,0,24,0.469536,6.7
"140",140,1,37,1.15995,6.6
"141",141,1,16,1.00864,16
"142",142,1,45,2.85156,17.8
"143",143,0,135,1.2771,4.4
"144",144,0,25,0.14105,9.1
"145",145,0,68,0.447984,5.4
"146",146,0,41,0.35547,3.4
"147",147,0,26,0.377208,12.4
"148",148,0,25,1.77,10
