"","timestamp","code","i01","i02r","i03","i04","i05","i06r","i07","i08","i09","i10","n_facebook_friends","n_hangover","age","sex","extra_single_item","time_conversation","presentation","n_party","clients","extra_vignette","extra_description","prop_na_per_row","extra_mean","extra_median","client_freq"
"1","11.03.2015 19:17:48","HSC",3,3,3,3,4,4,3,2,3,1,250,1,24,"Frau",4,10,"nein",20,"","",NA,0.0434782608695652,2.9,3,NA
"2","11.03.2015 19:18:05","ERB",2,2,1,2,3,2,2,3,3,1,106,0,35,"Frau",3,15,"nein",5,"","",NA,0.0434782608695652,2.1,2,NA
"3","11.03.2015 19:18:09","ADP",3,4,1,4,4,1,3,2,3,1,215,0,25,"Frau",4,15,"nein",3,"","",NA,0.0434782608695652,2.6,3,NA
"4","11.03.2015 19:18:19","KHB",3,3,2,4,3,3,3,3,3,2,200,15,39,"Frau",3,5,"nein",25,"","",NA,0.0434782608695652,2.9,3,NA
"5","11.03.2015 19:18:19","PTG",4,3,1,4,4,3,4,2,3,4,100,0,29,"Frau",4,5,"nein",4,"","",NA,0.0434782608695652,3.2,3.5,NA
"6","11.03.2015 19:18:23","ABL",3,2,1,4,2,3,4,3,3,3,376,1,33,"Mann",4,20,"ja",4,"","",NA,0.0434782608695652,2.8,3,NA
"7","11.03.2015 19:18:38","ber",4,4,1,3,3,3,2,3,3,2,180,1,24,"Frau",3,2,"ja",3,"","",NA,0.0434782608695652,2.8,3,NA
"8","11.03.2015 19:18:50","hph",3,3,2,3,2,2,3,2,4,1,432,2,28,"Mann",3,15,"ja",6,"","",NA,0.0434782608695652,2.5,2.5,NA
"9","11.03.2015 19:19:27","IHW",4,4,1,4,3,4,3,3,4,2,200,5,29,"Frau",4,10,"nein",12,"","",NA,0.0434782608695652,3.2,3.5,NA
"10","11.03.2015 19:19:31","LEI",4,4,2,4,3,3,3,3,3,3,NA,0,38,"Mann",4,10,"nein",5,"","",NA,0.0869565217391304,3.2,3,NA
