Zeitstempel,Bitte geben Sie Ihren dreistellen anonymen Code ein (1.: Anfangsbuchstabe des Vornamens Ihres Vaters; 2.: Anfangsbuchstabe des Mädchennamens Ihrer Mutter; 3: Anfangsbuchstabe Ihres Geburstsorts),Ich bin gerne mit anderen Menschen zusammen.,Ich bin ein Einzelgänger. (-),Ich bin in vielen Vereinen aktiv.,Ich bin ein gesprächiger und kommunikativer Mensch.,Ich bin sehr kontaktfreudig.,Im Grunde bin ich oft lieber für mich allein. (-),Ich kann schnell gute Stimmung verbreiten.,Ich gehe gerne auf Partys.,Ich bin unternehmungslustig.,Ich stehe gerne im Mittelpunkt.,"Wie viele Facebook-Freunde (Kontakte) haben Sie (wenn Sie nicht bei Facebook sind, bitte LEER lassen).","Wie viele ""Kater"" (überreichlicher Alkoholkonsum) hatten Sie in den letzten12 Monaten?",Wie alt sind Sie?,Bitte geben Sie Ihr Geschlecht an.,"Ich würde sagen, ich bin extrovertiert.",Sie gehen alleine auf eine Party. Nach wie viel Minuten sind Sie im Gespräch?,Es wird ein Mitarbeiter (m/w) für eine Präsentation (Messe) gesucht. Melden Sie sich freiwillig?,Wie häufig waren Sie in den letzten 12 Monaten auf einer Party?,Wie oft haben Sie Kundenkontakt?,"Passt die folgende Beschreibung auf Sie?           Eine extravertierte Person ist jemand, der seine Energie eher nach außen richtet und weniger in die innere Welt der Gedanken, Ideen oder Vorstellungen. Daher neigen extravertierte Menschen dazu, in neuen Situationen ohne zu zögern sich in die neue Situationen zu begeben. Zum Beispiel würde eine extravertierte Person, die zum ersten Mal einen Yogakurs besucht, sich nicht scheuen, direkt bei den Übungen mitzumachen. Oder wenn eine extravertierte Person eine Kneipe zum ersten besucht, würde sie sich nicht unbehaglich fühlen. Man kann daher sagen, dass extravertierte Personen als aktiv wahrgenommen werden und sich zu Unternehmungen hingezogen fühlen, bei denen sie mit anderen Personen in Kontakt kommen.",X23,"Wie sehr treffen die folgenden Aussagen auf Sie zu? Bitte denken Sie dabei nicht an spezifische Situationen, sondern ganz allgemein, wie sehr die Aussagen Sie selbst in den meisten Bereichen und Situationen in Ihrem Leben beschreiben.Allgemein wirke ich tendenziell eher wie eine Person, die . . .",Was studieren Sie?,Rauchen Sie?,Wie viele Stunden schlafen Sie durchschnittlich unter der Woche?,Wie viele Stunden schlafen Sie durchschnittlich am Wochenende?
11.03.2015 19:17:48,HSC,3,2,3,3,4,1,3,2,3,1,250,1,24,Frau,4,10,nein,20,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:18:05,ERB,2,3,1,2,3,3,2,3,3,1,106,0,35,Frau,3,15,nein,5,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:18:09,ADP,3,1,1,4,4,4,3,2,3,1,215,0,25,Frau,4,15,nein,3,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:18:19,KHB,3,2,2,4,3,2,3,3,3,2,200,15,39,Frau,3,5,nein,25,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:18:19,PTG,4,2,1,4,4,2,4,2,3,4,100,0,29,Frau,4,5,nein,4,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:18:23,ABL,3,3,1,4,2,2,4,3,3,3,376,1,33,Mann,4,20,ja,4,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:18:38,ber,4,1,1,3,3,2,2,3,3,2,180,1,24,Frau,3,2,ja,3,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:18:50,hph,3,2,2,3,2,3,3,2,4,1,432,2,28,Mann,3,15,ja,6,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:19:27,IHW,4,1,1,4,3,1,3,3,4,2,200,5,29,Frau,4,10,nein,12,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:19:31,LEI,4,1,2,4,3,2,3,3,3,3,NA,0,38,Mann,4,10,nein,5,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:19:40,PTG,3,2,1,3,3,2,2,3,4,1,400,1,25,Frau,4,1,nein,10,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:20:02,HRM,3,1,1,3,2,2,4,2,2,3,160,2,52,Frau,4,5,ja,5,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:20:02,WHB,4,2,1,2,3,2,2,3,4,2,463,20,32,Mann,4,5,ja,10,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:20:07,TSL,4,2,4,4,3,2,3,3,4,3,308,2,25,Mann,4,5,ja,10,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:20:20,AKS,3,2,1,3,3,2,3,4,4,2,305,20,23,Frau,4,30,nein,45,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:20:33,WGM,4,1,2,4,3,1,3,3,4,3,520,7,27,Frau,4,15,ja,12,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:20:43,WEL,4,1,3,4,3,2,3,2,4,3,369,0,32,Frau,4,10,nein,5,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:20:52,WOM,4,2,3,4,4,1,4,4,4,3,NA,12,23,Mann,4,4,ja,120,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:21:52,BKM,3,2,1,4,3,2,3,3,3,2,349,1,33,Mann,4,5,nein,2,NA,NA,NA,NA,NA,NA,NA,NA
11.03.2015 19:27:20,PTG,3,2,1,3,3,2,2,3,4,1,400,1,25,Frau,4,1,nein,10,NA,NA,NA,NA,NA,NA,NA,NA
12.03.2015 07:06:02,HHD,4,1,2,4,4,1,4,4,4,3,607,30,27,Frau,4,2,nein,30,NA,NA,NA,NA,NA,NA,NA,NA
12.03.2015 11:17:49,HHM,3,3,1,2,1,1,1,3,4,1,197,12,26,Mann,3,30,ja,24,NA,NA,NA,NA,NA,NA,NA,NA
21.03.2015 17:32:11,WGM,4,1,2,4,3,1,3,3,4,3,520,7,27,Frau,4,15,ja,12,NA,NA,NA,NA,NA,NA,NA,NA
11.05.2015 18:17:42,KSF,3,2,1,4,3,2,3,2,3,3,NA,0,32,Frau,3,5,ja,10,NA,NA,NA,NA,NA,NA,NA,NA
11.05.2015 18:17:57,MJC,3,2,2,3,3,2,3,4,3,2,200,6,25,Frau,3,10,ja,12,NA,NA,NA,NA,NA,NA,NA,NA
11.05.2015 18:18:11,SBM,3,2,1,3,2,2,3,3,4,1,NA,0,27,Frau,3,15,ja,20,NA,NA,NA,NA,NA,NA,NA,NA
11.05.2015 18:18:25,EGF,2,2,3,2,3,2,3,3,2,2,NA,NA,27,Frau,2,NA,nein,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.05.2015 18:18:39,HPR,3,2,1,3,3,2,3,3,3,2,400,12,29,Frau,3,NA,nein,5,NA,NA,NA,NA,NA,NA,NA,NA
11.05.2015 18:19:07,WHM,4,3,3,3,2,2,3,4,3,4,590,12,29,Mann,4,15,ja,25,NA,NA,NA,NA,NA,NA,NA,NA
11.05.2015 18:19:15,MKB,3,1,2,4,4,3,3,3,4,4,150,1,25,Frau,3,7,ja,2,NA,NA,NA,NA,NA,NA,NA,NA
11.05.2015 21:53:59,MKB,3,1,2,4,4,3,3,3,4,4,150,1,25,Frau,3,7,ja,2,NA,NA,NA,NA,NA,NA,NA,NA
15.09.2015 15:28:03,RWM,4,2,2,4,3,3,4,2,4,3,220,1,23,Mann,3,20,nein,5,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA
15.09.2015 15:28:40,EBM,2,2,4,3,2,2,3,3,3,2,200,1,23,Frau,3,40,nein,5,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA
15.09.2015 15:29:47,BED,3,3,1,3,3,2,2,3,3,2,400,2,33,Frau,3,10,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
15.09.2015 15:32:00,AUA,3,3,2,3,3,2,4,1,3,3,800,1,21,Mann,2,5,ja,0,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA
15.09.2015 15:37:06,MDG,3,4,2,4,3,4,3,3,2,4,350,50,24,Mann,1,10,nein,50,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA
15.09.2015 16:04:55,TBA,4,1,2,4,3,2,3,4,4,4,423,10,23,Frau,3,10,ja,15,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
15.09.2015 16:19:39,SBR,3,2,1,3,3,2,3,3,4,2,NA,4,25,Frau,3,5,nein,8,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
15.09.2015 16:29:17,UFW,4,1,3,4,3,2,3,3,3,2,250,0,24,Frau,4,10,ja,65,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
15.09.2015 17:20:23,HHB,4,2,2,4,4,2,3,3,4,3,NA,2,21,Frau,4,2,ja,5,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA
15.09.2015 17:20:54,HHB,4,2,2,4,4,2,3,3,4,3,0,2,21,Frau,4,2,ja,5,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA
15.09.2015 19:02:03,RVK,4,2,1,4,4,2,4,4,4,3,767,0,22,Mann,4,5,ja,110,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
