"Paket::Funktion", "Beschreibung"
"cor", "Berechnet eine Korrelationsmatrix."
"read.csv2", "Liest eine 'deutsche' CSV-Datei ein."
"glimpse", "Wirft einen Blick (to glimpse) in den Datensatz."
"scale", "führt eine z-Transformation durch"
"corrplot::corrplot", "Plottet einen Korrelationsplot."
"na.omit", "Schließt Zeilen mit fehlenden Werten von Datensatz aus."
"pr.comp", "Berechnet Hauptkomponentenanalyse."
"eigen", "Berechnet Eigenwerte."
"psych::VSS.scree", "Plottet einen Screeplot."
"biplot", "Plottet einen Biplot."
"psych::principal", "Berechnet eine Hauptkomponentenanalyse"
"psych::fa.diagram", "Plottet ein Pfaddiagramm für eine Faktorenanalyse"
"nFactors::nscree", "Vorschläge für die Anzahl der 'richtigen' Faktoren"
"factanal", "Berechnet eine Faktorenanalyse"
"gplots::heatmap.2", "Plottet ein Heatmap"
"factanal", "Berechnet Faktor-Scores"
"psych::alpha", "Berechnet Cronbachs Alpha und weitere Statistiken"
